,torture,enhanced interrogation,interrogation,coerced interrogation,harsh interrogation,strong interrogation,tough interrogation,rough interrogation,intense interrogation,extensive interrogation,harsh questioning,abuse
Fox News,107,139,113,26,8,2,1,1,1,1,1,10
AP,106,5,13,0,6,0,0,0,0,0,2,6
